Rank,Equivalence,5_6_poker,5_7_poker,5_8_poker,hand,classification,Description,product
1,4,188,4324,64860,A K Q J T,SF,Royal Flush,62734018
2,4,184,4140,60720,K Q J T 9,SF,King-High Straight Flush,29071862
3,4,184,4140,60720,Q J T 9 8,SF,Queen-High Straight Flush,13357342
4,4,184,4140,60720,J T 9 8 7,SF,Jack-High Straight Flush,5601466
5,4,184,4140,60720,T 9 8 7 6,SF,Ten-High Straight Flush,2124694
6,4,184,4140,60720,9 8 7 6 5,SF,Nine-High Straight Flush,646646
7,4,184,4140,60720,8 7 6 5 4,SF,Eight-High Straight Flush,170170
8,4,184,4140,60720,7 6 5 4 3,SF,Seven-High Straight Flush,30030
9,4,184,4140,60720,6 5 4 3 2,SF,Six-High Straight Flush,4620
10,4,184,4140,60720,5 4 3 2 A,SF,Five-High Straight Flush,17220
11,4,182,4052,58825,A A A A K,4K,Four Aces,104553157
12,4,166,3364,44361,A A A A Q,4K,Four Aces,87598591
13,4,150,2740,32485,A A A A J,4K,Four Aces,81947069
14,4,134,2180,22945,A A A A T,4K,Four Aces,64992503
15,4,118,1684,15485,A A A A 9,4K,Four Aces,53689459
16,4,102,1252,9849,A A A A 8,4K,Four Aces,48037937
17,4,86,884,5781,A A A A 7,4K,Four Aces,36734893
18,4,70,580,3025,A A A A 6,4K,Four Aces,31083371
19,4,54,340,1321,A A A A 5,4K,Four Aces,19780327
20,4,38,164,425,A A A A 4,4K,Four Aces,14128805
21,4,22,52,69,A A A A 3,4K,Four Aces,8477283
22,4,6,4,1,A A A A 2,4K,Four Aces,5651522
23,4,182,4052,58824,K K K K A,4K,Four Kings,76840601
24,4,166,3364,44357,K K K K Q,4K,Four Kings,58098991
25,4,150,2740,32485,K K K K J,4K,Four Kings,54350669
26,4,134,2180,22945,K K K K T,4K,Four Kings,43105703
27,4,118,1684,15485,K K K K 9,4K,Four Kings,35609059
28,4,102,1252,9849,K K K K 8,4K,Four Kings,31860737
29,4,86,884,5781,K K K K 7,4K,Four Kings,24364093
30,4,70,580,3025,K K K K 6,4K,Four Kings,20615771
31,4,54,340,1325,K K K K 5,4K,Four Kings,13119127
32,4,38,164,425,K K K K 4,4K,Four Kings,9370805
33,4,22,52,69,K K K K 3,4K,Four Kings,5622483
34,4,6,4,1,K K K K 2,4K,Four Kings,3748322
35,4,182,4052,58824,Q Q Q Q A,4K,Four Queens,37864361
36,4,166,3364,44356,Q Q Q Q K,4K,Four Queens,34170277
37,4,150,2740,32481,Q Q Q Q J,4K,Four Queens,26782109
38,4,134,2180,22945,Q Q Q Q T,4K,Four Queens,21240983
39,4,118,1684,15485,Q Q Q Q 9,4K,Four Queens,17546899
40,4,102,1252,9849,Q Q Q Q 8,4K,Four Queens,15699857
41,4,86,884,5781,Q Q Q Q 7,4K,Four Queens,12005773
42,4,70,580,3025,Q Q Q Q 6,4K,Four Queens,10158731
43,4,54,340,1325,Q Q Q Q 5,4K,Four Queens,6464647
44,4,38,164,425,Q Q Q Q 4,4K,Four Queens,4617605
45,4,22,52,69,Q Q Q Q 3,4K,Four Queens,2770563
46,4,6,4,1,Q Q Q Q 2,4K,Four Queens,1847042
47,4,182,4052,58824,J J J J A,4K,Four Jacks,28998521
